,sustainability_score,company,Environment_Category 0,Environment_Category 1,Environment_Category 2,Environment_Category 3,Environment_Category 4,Environment_Category 5,Governance_Category 0,Governance_Category 1,Governance_Category 2,Governance_Category 3,Governance_Category 4,Governance_Category 5,Social_Category 0,Social_Category 1,Social_Category 2,Social_Category 3,Social_Category 4,Social_Category 5
0,62.80185153,3M Co,0,0,10,16,0,0,0,0,1,0,0,0,1,1,3,7,0,0
1,79.66739615,3i Group PLC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,8.934284165,58.com Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,57.96189017,ABB Ltd,0,1,0,0,0,0,0,0,4,0,0,0,0,2,11,0,0,0
4,1.302218996,E-MART Inc,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
5,71.60782706,ABN AMRO Bank N.V.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6,71.60782706,Public Joint Stock Company ALROSA,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,11,0,0
7,37.84969398,"Alexion Pharmaceuticals, Inc.",0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0
8,66.68235241,AGL Energy Limited,0,2,1,0,0,0,2,1,0,0,0,0,2,2,11,0,0,0
9,2.688719777,Al Rajhi Banking and Investment Corporation,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10,59.01706819,AIA Group Limited,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
11,48.7519872,"Aisin Seiki Co., Ltd.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,6.654960372,Alior Bank SA,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
13,4.264788744,AMERCO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,2.033239193,"AMETEK, Inc.",0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
15,62.76925868,AMP Limited,0,2,0,0,0,0,0,0,4,0,15,0,0,0,3,10,0,0
16,49.05844592,ANA Holdings Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
17,49.05844592,"Resona Holdings, Inc.",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9.189356285,ANTA Sports Products Limited,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19,51.28880901,A.P. Møller - Mærsk A/S,0,0,4,0,0,0,0,1,1,0,0,0,0,3,8,0,0,0
20,69.87547905,APA Group,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,17.17429521,MMG Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
22,12.72865232,Asustek Computer Inc,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
23,37.49360269,AT&T Inc,0,0,1,0,0,0,0,2,2,0,0,0,0,2,14,38,0,0
24,36.44547004,ATCO Ltd.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,13.20033258,AAC Technologies Holdings Inc,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,84.41755185,AbbVie Inc,0,0,0,0,0,0,0,1,0,3,0,0,0,0,22,6,0,0
27,28.17615138,Abbott Laboratories,0,0,1,0,0,0,0,0,17,0,0,0,0,0,13,34,0,0
